Player Name,Position,Pos. Type,Avg. Assists,Avg. Points,Avg. Field Goals Attempted,Avg. Field Goals Made,Avg. Oe,Avg. Rebounds Offensive,Avg. Rebounds Total,Avg. Turnovers,Count of Number of Records
Nene,PF,big,1.83,8.27,5.25,2.92,0.57,0.58,4.92,1.00,12.00
Aaron Brooks,PG,guard,2.24,8.38,7.38,3.05,0.54,0.52,2.14,0.90,21.00
Aaron Gordon,PF,big,1.14,7.14,5.55,2.59,0.68,1.62,4.59,0.86,29.00
Aaron Harrison,SG,guard,0.00,2.33,0.60,0.40,0.67,0.20,0.80,0.20,5.00
Adreian Payne,PF,big,0.43,5.83,2.74,1.22,0.45,0.39,2.35,0.74,23.00
Al Horford,PF,big,2.94,15.00,13.06,6.36,0.61,1.97,6.97,1.42,33.00
Al Jefferson,C,big,1.58,12.53,11.68,5.63,0.50,1.21,6.11,0.74,19.00
Al-Farouq Aminu,SF,big,1.67,11.06,9.45,3.82,0.47,1.24,6.64,1.85,33.00
Alec Burks,PG,guard,2.11,14.32,11.61,4.75,0.45,0.57,3.57,1.75,28.00
Alex Len,C,big,0.73,7.90,5.64,2.67,0.63,1.97,5.94,1.39,33.00
Alexis Ajinca,C,big,0.32,6.50,4.59,2.41,0.61,1.14,3.91,0.64,22.00
Allen Crabbe,SF,big,1.12,10.97,8.85,4.09,0.47,0.30,2.39,0.88,33.00
Alonzo Gee,SF,big,1.00,5.04,3.35,1.68,0.60,0.68,2.87,0.81,31.00
Amar'e Stoudemire,PF,big,0.75,4.25,3.50,1.50,0.45,0.75,2.50,0.50,4.00
Amir Johnson,PF,big,1.52,7.69,5.97,3.31,0.77,1.93,5.83,1.38,29.00
Anderson Varejao,PF,big,0.50,3.69,2.05,0.86,0.30,0.64,2.41,0.50,22.00
Andre Drummond,C,big,0.97,18.32,14.87,7.71,0.73,5.58,16.26,2.26,31.00
Andre Iguodala,SG,guard,3.53,8.19,6.03,2.87,0.68,1.10,4.60,1.13,30.00
Andre Miller,PG,guard,2.73,7.25,2.73,1.60,0.73,0.33,1.07,0.93,15.00
Andre Roberson,SG,guard,0.83,5.29,4.45,2.10,0.64,1.17,3.31,0.72,29.00
Andrea Bargnani,U,big,0.30,8.78,6.96,3.04,0.41,0.85,2.59,0.78,27.00
Andrew Bogut,C,big,2.29,6.56,4.10,2.62,0.95,1.67,6.95,1.14,21.00
Andrew Nicholson,PF,big,0.23,9.32,6.59,3.09,0.43,0.77,4.27,0.95,22.00
Andrew Wiggins,SF,big,1.67,20.70,16.73,7.30,0.46,1.57,3.70,2.30,30.00
Anthony Bennett,PF,big,0.00,2.71,1.90,0.50,0.29,0.50,1.70,0.40,10.00
Anthony Brown,SF,big,0.63,3.25,3.00,0.50,0.23,0.25,1.00,0.50,8.00
Anthony Davis,PF,big,1.54,24.33,17.93,8.79,0.52,1.96,10.89,2.29,28.00
Anthony Morrow,SG,guard,0.41,6.87,4.97,2.00,0.43,0.21,1.14,0.31,29.00
Anthony Tolliver,PF,big,0.83,6.27,4.53,1.53,0.50,0.53,3.40,0.27,30.00
Archie Goodwin,SG,guard,0.87,7.00,3.40,1.73,0.44,0.13,2.20,0.87,15.00
Aron Baynes,PF,big,0.70,5.04,4.07,1.87,0.59,1.63,3.97,0.90,30.00
Arron Afflalo,SG,guard,1.75,13.25,11.63,5.42,0.51,0.38,3.96,0.96,24.00
Austin Rivers,SG,guard,1.28,7.18,6.72,2.72,0.46,0.45,1.90,1.00,29.00
Avery Bradley,PG,guard,1.90,15.17,13.03,5.83,0.48,0.45,2.38,1.45,29.00
Ben McLemore,SG,guard,1.13,8.07,6.13,2.87,0.48,0.50,2.23,1.40,30.00
Beno Udrih,PG,guard,2.33,4.86,4.04,1.83,0.58,0.17,1.25,1.00,24.00
Bismack Biyombo,PF,big,0.25,6.25,3.97,1.84,0.88,2.69,9.03,1.00,32.00
Blake Griffin,PF,big,4.97,23.23,18.43,9.37,0.59,1.67,8.70,2.37,30.00
Boban Marjanovic,C,big,0.18,5.47,2.59,1.71,0.56,1.06,2.47,0.71,17.00
Bobby Portis,PF,big,0.89,7.56,7.22,3.44,0.50,1.22,3.89,1.33,9.00
Bojan Bogdanovic,SG,guard,0.94,9.80,8.26,3.71,0.44,0.48,3.48,1.29,31.00
Boris Diaw,U,big,2.47,6.93,5.31,2.78,0.60,0.81,3.25,1.38,32.00
Bradley Beal,SG,guard,3.24,19.76,16.94,7.41,0.47,0.94,4.71,3.00,17.00
Brandan Wright,PF,big,0.57,7.67,4.29,2.57,0.64,0.86,3.43,0.57,7.00
Branden Dawson,SF,big,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
Brandon Bass,PF,big,0.81,5.85,4.11,2.37,0.80,1.48,4.00,0.63,27.00
Brandon Knight,PG,guard,5.18,19.76,16.88,7.18,0.49,0.76,3.94,3.36,33.00
Brandon Rush,SG,guard,0.71,6.12,4.00,1.76,0.49,0.48,2.86,0.62,21.00
Brian Roberts,PG,guard,1.00,3.11,2.67,1.00,0.42,0.00,1.00,0.42,12.00
Brook Lopez,C,big,1.61,19.32,15.84,7.71,0.56,3.10,8.32,2.32,31.00
